Sample_ID,Variety,Soil_pH,N (Nitrogen),P (Phosphorus),K (Potassium),Organic_Matter (kg compost),Temperature (°C),Rainfall (mm),Elevation (m),Soil_Type,Beneficial_Microbes (CFU/g),Harmful_Microbes (CFU/g),Microbial_Activity,Soil_Organic_Carbon,Microbial_Biomass_C (g/kg),Soil_Enzyme_Activity,Disease (Yes/No),Disease_Name,Nutrient_Deficiency,Weather_Condition,Crop_Yield (kg/palm)
2117,Sumangala,5.4,86,51,130,11.8,21,1512,673,Red loam,1.1 x 10^7,1.1 x 10^5,High,1.5%,310,Moderate,Yes,Koleroga (Mahali),Potassium,Rainy,1.09
2118,Shreemangala,5.9,112,57,158,14.6,28,1612,650,Alluvial,1.6 x 10^7,0,High,1.9%,322,High,No,None,None,Rainy,4.95
2119,Mangala,5.5,109,55,151,12.2,25,1577,921,Red loam,1.6 x 10^7,0,High,1.9%,328,High,No,None,None,Humid,4.3
2120,SK Local,6.8,108,57,159,14.8,30,2207,646,Laterite,1.3 x 10^7,0.6 x 10^5,High,1.3%,347,High,No,None,None,Humid,2.55
2121,Sumangala,5.4,101,51,152,11.8,28,2042,938,Red loam,1.1 x 10^7,1.7 x 10^5,High,1.4%,274,High,No,None,Potassium,Humid,2.36
2122,SK Local,6.1,119,55,154,13.6,24,1885,789,Laterite,1.5 x 10^7,0,High,1.9%,300,High,No,None,None,Humid,3.47
2123,Shreemangala,5.1,81,51,149,12.3,21,1573,856,Red loam,1.1 x 10^7,2.4 x 10^5,Moderate,2.0%,308,High,Yes,Koleroga (Mahali),Nitrogen,Dry,1.22
2124,SK Local,6.5,104,59,157,13.3,24,1503,795,Alluvial,1.6 x 10^7,0,High,2.0%,316,High,No,None,None,Rainy,3.85
2125,SK Local,6.4,100,54,147,14.0,27,1848,918,Laterite,1.9 x 10^7,0,High,1.9%,300,High,No,None,None,Humid,3.56
2126,SK Local,6.4,114,45,158,12.3,23,1341,918,Alluvial,1.3 x 10^7,1.4 x 10^5,Moderate,1.6%,313,Low,No,None,None,Dry,1.93
2127,Shreemangala,5.8,119,50,140,14.7,25,1561,659,Alluvial,1.9 x 10^7,0,High,1.8%,307,High,No,None,None,Dry,5.55
2128,Mangala,5.9,117,55,154,14.6,25,1605,922,Laterite,1.7 x 10^7,0,High,1.8%,341,High,No,None,None,Rainy,4.82
2129,Sumangala,6.5,108,48,149,10.8,25,2286,728,Red loam,1.0 x 10^7,2.5 x 10^5,Moderate,1.6%,332,High,Yes,Koleroga (Mahali),Potassium,Humid,1.48
2130,SK Local,5.8,116,56,148,14.4,28,1771,534,Alluvial,1.6 x 10^7,0,High,1.9%,306,High,No,None,None,Dry,3.43
2131,Mangala,5.6,90,52,127,14.5,27,2482,824,Alluvial,1.2 x 10^7,2.7 x 10^5,Moderate,1.3%,318,Low,No,None,None,Dry,2.89
2132,Sumangala,5.4,102,56,142,13.2,28,1451,591,Laterite,1.3 x 10^7,2.2 x 10^5,Low,1.5%,288,High,No,None,Nitrogen,Rainy,2.13
2133,Mangala,5.9,110,51,140,12.3,26,1997,724,Red loam,1.7 x 10^7,0,High,1.8%,341,High,No,None,None,Humid,3.94
2134,SK Local,6.3,103,53,141,13.9,24,1951,873,Red loam,1.6 x 10^7,0,High,1.9%,318,High,No,None,None,Dry,2.88
2135,Sumangala,5.9,117,54,155,14.8,28,1737,973,Alluvial,1.5 x 10^7,0,High,1.9%,325,High,No,None,None,Dry,5.08
2136,Mangala,6.2,105,59,146,11.6,21,1377,711,Red loam,1.1 x 10^7,1.0 x 10^5,High,1.8%,288,Moderate,No,None,Potassium,Rainy,2.46
2137,Shreemangala,5.7,106,56,156,13.2,28,1864,799,Laterite,1.5 x 10^7,0,High,1.8%,344,High,No,None,None,Rainy,5.07
2138,Sumangala,5.6,114,53,159,13.2,25,1642,916,Red loam,2.0 x 10^7,0,High,2.0%,324,High,No,None,None,Humid,5.04
2139,Mangala,6.2,104,54,144,13.8,24,1687,561,Red loam,1.7 x 10^7,0,High,1.8%,317,High,No,None,None,Humid,4.1
2140,Mangala,6.1,112,56,159,12.1,26,1591,733,Red loam,1.5 x 10^7,0,High,1.9%,305,High,No,None,None,Humid,4.19
2141,SK Local,6.0,106,47,146,11.6,27,2028,777,Alluvial,1.3 x 10^7,3.0 x 10^5,Low,1.2%,254,Low,No,None,Potassium,Humid,1.53
2142,SK Local,6.3,116,50,158,13.2,26,1929,603,Red loam,1.5 x 10^7,0,High,1.9%,345,High,No,None,None,Rainy,3.19
2143,Mangala,6.3,107,55,127,13.9,27,1680,508,Laterite,1.2 x 10^7,1.9 x 10^5,Moderate,1.9%,286,Moderate,No,None,None,Rainy,2.55
2144,Sumangala,5.9,106,57,140,12.0,28,1741,867,Alluvial,1.6 x 10^7,0,High,2.0%,320,High,No,None,None,Dry,4.17
2145,SK Local,6.8,106,48,120,13.7,20,2108,749,Alluvial,1.2 x 10^7,0.6 x 10^5,Low,1.7%,292,Low,Yes,Koleroga (Mahali),Phosphorus,Rainy,0.92
2146,Sumangala,5.8,110,54,143,12.8,26,1960,532,Laterite,1.7 x 10^7,0,High,1.9%,319,High,No,None,None,Humid,4.66
2147,Shreemangala,5.6,86,44,131,13.5,21,2293,970,Laterite,1.1 x 10^7,2.9 x 10^5,Low,1.8%,329,High,Yes,Spindle Bug,Potassium,Dry,1.72
2148,Sumangala,6.5,101,54,157,12.6,27,1540,647,Laterite,1.7 x 10^7,0,High,1.8%,309,High,No,None,None,Dry,4.98
2149,Sumangala,6.1,114,54,147,10.5,23,2109,592,Red loam,1.2 x 10^7,0.7 x 10^5,Moderate,1.8%,342,Low,Yes,Koleroga (Mahali),Potassium,Dry,1.82
2150,Mangala,5.8,116,57,142,14.0,24,1618,607,Red loam,2.0 x 10^7,0,High,1.9%,339,High,No,None,None,Dry,4.17
2151,Sumangala,5.6,109,55,137,14.5,24,1819,525,Laterite,1.1 x 10^7,0.3 x 10^5,High,1.3%,285,High,Yes,Spindle Bug,None,Humid,3.08
2152,Sumangala,5.9,122,55,138,13.6,28,1532,694,Red loam,1.4 x 10^7,2.3 x 10^5,Moderate,1.3%,271,High,No,None,Nitrogen,Rainy,2.51
2153,Mangala,5.3,84,47,145,11.3,26,1385,503,Alluvial,1.3 x 10^7,1.8 x 10^5,High,1.9%,260,Moderate,Yes,Spindle Bug,None,Dry,1.56
2154,Mangala,5.8,98,46,138,14.2,21,2485,566,Alluvial,1.3 x 10^7,1.2 x 10^5,High,1.9%,306,High,Yes,Spindle Bug,Phosphorus,Dry,2.23
2155,Shreemangala,6.2,115,59,145,13.4,25,1579,767,Laterite,1.6 x 10^7,0,High,1.9%,307,High,No,None,None,Dry,5.2
2156,Mangala,6.4,88,53,143,10.4,20,1605,922,Red loam,1.2 x 10^7,0.2 x 10^5,Low,1.6%,334,Moderate,No,None,Potassium,Dry,2.25
2157,Mangala,5.7,106,59,156,13.2,26,1780,822,Red loam,1.5 x 10^7,0,High,2.0%,331,High,No,None,None,Dry,4.61
2158,Sumangala,5.8,125,49,152,12.9,30,1998,656,Laterite,1.3 x 10^7,2.8 x 10^5,Low,1.8%,328,High,Yes,Koleroga (Mahali),Potassium,Rainy,1.52
2159,Sumangala,5.6,94,49,129,11.0,22,2328,791,Alluvial,1.4 x 10^7,1.3 x 10^5,Low,1.2%,281,High,Yes,Spindle Bug,Phosphorus,Humid,1.65
2160,Sumangala,5.7,110,58,131,13.8,23,1370,727,Alluvial,1.1 x 10^7,2.2 x 10^5,Low,1.2%,264,Moderate,Yes,Spindle Bug,None,Rainy,2.31
2161,Shreemangala,6.1,101,51,143,14.7,28,1939,809,Red loam,1.5 x 10^7,0,High,2.0%,334,High,No,None,None,Dry,4.45
2162,Mangala,6.1,103,51,147,15.0,25,1525,530,Laterite,1.9 x 10^7,0,High,2.0%,340,High,No,None,None,Humid,4.48
2163,Sumangala,5.9,93,47,125,12.2,29,2154,609,Laterite,1.3 x 10^7,2.8 x 10^5,Low,1.5%,275,Moderate,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.35
2164,Mangala,6.1,105,58,143,13.6,24,1792,657,Alluvial,1.6 x 10^7,0,High,1.9%,301,High,No,None,None,Humid,4.6
2165,SK Local,5.3,122,42,126,13.0,24,1340,785,Alluvial,1.3 x 10^7,2.1 x 10^5,Low,1.8%,318,Low,Yes,Spindle Bug,Phosphorus,Humid,0.87
2166,SK Local,5.7,117,56,159,14.7,24,1936,657,Red loam,1.5 x 10^7,0,High,1.9%,345,High,No,None,None,Humid,3.58
2167,Sumangala,6.6,106,45,131,14.3,24,1713,541,Red loam,1.0 x 10^7,2.1 x 10^5,High,1.8%,320,High,Yes,Spindle Bug,Potassium,Humid,1.92
2168,Sumangala,6.5,87,44,138,12.2,29,2172,789,Laterite,1.1 x 10^7,0.2 x 10^5,High,1.4%,298,Low,Yes,Koleroga (Mahali),None,Dry,2.03
2169,Shreemangala,6.6,96,46,125,11.4,27,1398,749,Red loam,1.2 x 10^7,2.8 x 10^5,Low,1.8%,294,Low,No,None,None,Humid,2.1
2170,Shreemangala,5.8,119,58,158,13.7,28,1538,734,Laterite,2.0 x 10^7,0,High,2.0%,347,High,No,None,None,Humid,5.57
2171,Mangala,6.5,116,57,155,12.5,25,1552,537,Red loam,1.8 x 10^7,0,High,1.9%,311,High,No,None,None,Dry,4.09
2172,Shreemangala,6.5,109,56,159,10.2,21,2482,612,Red loam,1.3 x 10^7,2.8 x 10^5,Moderate,1.8%,255,Moderate,No,None,Phosphorus,Rainy,2.53
2173,SK Local,6.1,89,56,136,11.4,27,2283,672,Red loam,1.0 x 10^7,0.5 x 10^5,High,1.7%,337,High,Yes,Spindle Bug,None,Dry,2.38
2174,Mangala,5.8,94,51,158,12.8,21,2153,769,Red loam,1.1 x 10^7,1.5 x 10^5,High,1.4%,265,High,Yes,Koleroga (Mahali),None,Dry,2.04
2175,Mangala,6.1,112,51,150,13.9,24,1911,827,Red loam,1.9 x 10^7,0,High,1.9%,302,High,No,None,None,Humid,4.92
2176,Mangala,6.0,121,40,121,12.3,28,1991,588,Alluvial,1.5 x 10^7,2.0 x 10^5,High,1.3%,305,Low,No,None,Potassium,Humid,1.94
2177,Shreemangala,6.1,103,56,159,12.6,27,1514,823,Red loam,1.7 x 10^7,0,High,1.8%,344,High,No,None,None,Humid,5.58
2178,Shreemangala,6.6,87,53,155,12.7,30,1403,660,Alluvial,1.1 x 10^7,1.0 x 10^5,Moderate,1.3%,285,Low,No,None,Nitrogen,Dry,2.07
2179,Shreemangala,5.1,111,54,121,12.1,26,1421,699,Alluvial,1.4 x 10^7,2.1 x 10^5,Low,1.6%,322,Low,No,None,None,Dry,2.29
2180,Sumangala,5.4,130,52,160,11.1,24,2067,980,Laterite,1.3 x 10^7,0.7 x 10^5,High,1.6%,303,Moderate,Yes,Spindle Bug,None,Dry,3.21
2181,Sumangala,6.1,105,50,149,12.5,24,1860,846,Alluvial,1.9 x 10^7,0,High,1.8%,347,High,No,None,None,Dry,4.6
2182,SK Local,6.2,111,60,145,14.0,28,1770,572,Red loam,1.7 x 10^7,0,High,1.9%,319,High,No,None,None,Humid,3.12
2183,Shreemangala,5.2,123,57,153,10.9,22,1740,671,Red loam,1.1 x 10^7,0.5 x 10^5,Low,1.4%,294,High,Yes,Spindle Bug,None,Dry,3.14
2184,Sumangala,5.8,104,56,140,13.9,28,1654,667,Red loam,1.7 x 10^7,0,High,2.0%,322,High,No,None,None,Dry,4.25
2185,Sumangala,5.4,103,54,129,14.8,24,1509,709,Alluvial,1.3 x 10^7,0.8 x 10^5,Moderate,1.3%,326,Moderate,No,None,Potassium,Humid,2.57
2186,Mangala,6.2,108,55,147,13.7,26,1897,995,Alluvial,1.5 x 10^7,0,High,2.0%,328,High,No,None,None,Humid,3.87
2187,SK Local,6.3,116,51,142,13.8,26,1952,904,Red loam,1.7 x 10^7,0,High,1.9%,300,High,No,None,None,Rainy,3.02
2188,Mangala,6.7,94,57,157,13.6,21,1418,621,Alluvial,1.3 x 10^7,0.7 x 10^5,Moderate,1.8%,301,High,No,None,Phosphorus,Rainy,2.35
2189,SK Local,5.7,107,57,158,12.3,27,1788,919,Alluvial,1.9 x 10^7,0,High,1.9%,312,High,No,None,None,Dry,3.43
2190,Sumangala,6.1,111,56,144,12.8,27,1820,516,Laterite,1.6 x 10^7,0,High,1.8%,319,High,No,None,None,Dry,4.98
2191,Shreemangala,5.4,85,56,123,14.1,24,2471,594,Laterite,1.4 x 10^7,2.1 x 10^5,Moderate,1.7%,250,High,No,None,Nitrogen,Rainy,2.05
2192,Sumangala,6.1,89,60,127,12.3,20,1966,665,Alluvial,1.4 x 10^7,1.8 x 10^5,Low,2.0%,332,Low,Yes,Spindle Bug,Phosphorus,Dry,2.02
2193,Shreemangala,5.5,83,50,153,14.7,27,1823,814,Red loam,1.3 x 10^7,1.5 x 10^5,Low,1.2%,324,Moderate,No,None,None,Dry,2.8
2194,Mangala,6.0,81,42,137,13.0,20,1733,618,Laterite,1.1 x 10^7,1.5 x 10^5,High,1.6%,302,Moderate,No,None,Phosphorus,Dry,2.46
2195,Mangala,5.5,111,57,152,14.1,27,1947,779,Laterite,1.6 x 10^7,0,High,1.8%,339,High,No,None,None,Dry,4.42
2196,Shreemangala,6.8,124,56,144,12.3,28,2160,854,Laterite,1.4 x 10^7,1.6 x 10^5,High,1.2%,350,High,Yes,Spindle Bug,None,Humid,2.64
2197,Sumangala,5.6,89,48,131,14.3,23,2312,659,Laterite,1.0 x 10^7,0.0 x 10^5,Moderate,1.9%,261,High,No,None,Phosphorus,Humid,3.1
2198,Sumangala,6.8,101,48,140,13.0,27,1747,833,Alluvial,1.3 x 10^7,2.9 x 10^5,Low,1.6%,258,Low,Yes,Koleroga (Mahali),Potassium,Humid,1.17
2199,SK Local,6.6,96,57,149,12.3,28,1879,621,Alluvial,1.2 x 10^7,0.4 x 10^5,Moderate,1.5%,299,High,Yes,Koleroga (Mahali),Nitrogen,Humid,1.04
2200,Mangala,6.7,92,53,143,13.6,27,2263,857,Alluvial,1.2 x 10^7,2.7 x 10^5,Moderate,1.5%,295,Low,No,None,Nitrogen,Dry,1.9
2201,SK Local,6.7,81,60,157,11.3,25,2138,954,Red loam,1.1 x 10^7,2.5 x 10^5,Moderate,1.8%,280,Moderate,No,None,None,Dry,1.76
2202,Shreemangala,5.0,84,49,134,13.9,20,1814,760,Alluvial,1.3 x 10^7,2.7 x 10^5,Low,1.3%,288,Moderate,No,None,None,Dry,2.62
2203,Shreemangala,5.8,81,55,131,13.5,28,1317,648,Red loam,1.1 x 10^7,1.5 x 10^5,Moderate,1.4%,291,High,No,None,Potassium,Humid,1.99
2204,Mangala,6.4,117,47,125,13.0,23,1730,639,Laterite,1.3 x 10^7,1.4 x 10^5,Low,1.7%,295,Low,Yes,Koleroga (Mahali),Nitrogen,Dry,1.4
2205,Mangala,6.1,88,53,138,10.8,26,1983,504,Red loam,1.5 x 10^7,2.3 x 10^5,Moderate,1.5%,256,Moderate,Yes,Koleroga (Mahali),Nitrogen,Dry,1.19
2206,SK Local,5.9,117,57,153,13.9,27,1521,646,Red loam,1.8 x 10^7,0,High,2.0%,338,High,No,None,None,Humid,3.25
2207,SK Local,6.4,110,53,160,13.1,25,1618,606,Alluvial,1.7 x 10^7,0,High,1.9%,307,High,No,None,None,Dry,3.12
2208,SK Local,5.8,117,60,155,14.3,25,1965,663,Red loam,1.7 x 10^7,0,High,1.9%,329,High,No,None,None,Rainy,4.02
2209,SK Local,6.9,107,45,137,13.1,22,2416,773,Alluvial,1.2 x 10^7,2.4 x 10^5,Low,1.8%,344,High,Yes,Spindle Bug,Potassium,Humid,1.15
2210,Shreemangala,6.7,130,40,131,11.3,26,1851,638,Laterite,1.5 x 10^7,2.3 x 10^5,High,1.8%,342,Moderate,No,None,Potassium,Dry,2.33
2211,Sumangala,6.8,93,58,136,11.3,28,1360,596,Alluvial,1.1 x 10^7,1.5 x 10^5,High,1.5%,283,Moderate,Yes,Koleroga (Mahali),None,Rainy,1.51
2212,Shreemangala,5.8,120,51,149,14.1,25,1627,597,Laterite,1.7 x 10^7,0,High,1.8%,323,High,No,None,None,Rainy,4.7
2213,Mangala,5.8,114,54,159,12.9,28,1825,682,Alluvial,1.6 x 10^7,0,High,1.8%,321,High,No,None,None,Dry,5.1
2214,Sumangala,5.8,112,57,140,14.0,27,1618,998,Red loam,1.7 x 10^7,0,High,1.9%,331,High,No,None,None,Rainy,4.93
2215,Sumangala,6.6,129,43,152,11.8,20,1981,932,Alluvial,1.2 x 10^7,1.7 x 10^5,Moderate,1.6%,335,High,No,None,Potassium,Dry,2.35
2216,SK Local,6.4,104,59,146,12.6,25,1684,887,Laterite,1.5 x 10^7,0,High,1.8%,350,High,No,None,None,Dry,2.99
2217,Shreemangala,6.6,125,50,151,14.8,20,2257,723,Alluvial,1.4 x 10^7,1.6 x 10^5,Low,1.9%,302,High,Yes,Spindle Bug,Nitrogen,Humid,1.86
2218,Sumangala,5.8,117,56,151,14.1,28,1708,546,Red loam,1.5 x 10^7,0,High,1.8%,330,High,No,None,None,Humid,4.34
2219,Sumangala,5.1,85,50,148,13.5,28,1682,684,Red loam,1.2 x 10^7,1.0 x 10^5,Low,1.7%,317,High,Yes,Spindle Bug,Phosphorus,Rainy,1.97
2220,Mangala,5.7,113,58,160,13.4,26,1524,822,Laterite,1.6 x 10^7,0,High,2.0%,315,High,No,None,None,Dry,4.22
2221,Sumangala,6.8,96,60,132,11.8,29,1541,553,Red loam,1.4 x 10^7,1.1 x 10^5,Low,1.5%,318,Low,Yes,Koleroga (Mahali),None,Humid,1.59
2222,SK Local,5.8,106,59,149,13.0,28,1550,889,Red loam,2.0 x 10^7,0,High,1.9%,344,High,No,None,None,Dry,2.91
2223,Mangala,5.3,98,60,129,14.8,22,2338,549,Red loam,1.0 x 10^7,1.1 x 10^5,Low,1.3%,300,Moderate,Yes,Spindle Bug,Phosphorus,Rainy,1.5
2224,Shreemangala,5.5,125,60,131,11.6,23,2406,700,Red loam,1.2 x 10^7,1.1 x 10^5,Low,1.8%,293,Moderate,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.76
2225,Mangala,6.4,105,55,145,12.7,20,2112,614,Laterite,1.1 x 10^7,1.7 x 10^5,Low,1.3%,252,Low,Yes,Koleroga (Mahali),Potassium,Humid,1.28
2226,SK Local,6.3,117,40,127,12.4,27,2179,619,Laterite,1.1 x 10^7,1.3 x 10^5,Low,1.5%,302,High,Yes,Spindle Bug,Phosphorus,Humid,1.44
2227,Sumangala,6.2,116,60,135,10.1,29,2430,975,Red loam,1.4 x 10^7,1.2 x 10^5,Moderate,1.4%,276,Moderate,Yes,Spindle Bug,Phosphorus,Rainy,1.87
2228,Shreemangala,5.8,114,53,143,12.1,28,1833,867,Alluvial,1.9 x 10^7,0,High,1.9%,308,High,No,None,None,Rainy,5.16
2229,Sumangala,5.9,117,60,143,13.2,26,1667,800,Alluvial,1.8 x 10^7,0,High,1.9%,320,High,No,None,None,Humid,5.42
2230,Sumangala,6.8,100,57,158,11.9,28,2323,654,Alluvial,1.0 x 10^7,3.0 x 10^5,Low,1.6%,325,Low,Yes,Koleroga (Mahali),None,Humid,1.72
2231,Mangala,5.9,92,53,138,11.2,29,2500,913,Red loam,1.0 x 10^7,1.6 x 10^5,Moderate,1.8%,334,Moderate,No,None,Nitrogen,Rainy,1.97
2232,Mangala,6.1,103,53,142,13.6,25,1511,911,Red loam,1.8 x 10^7,0,High,2.0%,302,High,No,None,None,Rainy,4.13
2233,Sumangala,6.5,85,52,157,12.3,20,2337,995,Red loam,1.4 x 10^7,0.3 x 10^5,High,1.5%,265,High,Yes,Koleroga (Mahali),None,Rainy,2.59
2234,Mangala,5.1,107,59,137,12.8,22,2231,748,Laterite,1.2 x 10^7,0.9 x 10^5,Moderate,1.7%,305,Low,Yes,Spindle Bug,Phosphorus,Humid,1.89
2235,Mangala,6.0,103,52,149,14.2,27,1505,502,Red loam,1.8 x 10^7,0,High,1.9%,328,High,No,None,None,Rainy,4.39
2236,Sumangala,5.8,106,57,143,12.5,27,1603,895,Red loam,1.9 x 10^7,0,High,2.0%,339,High,No,None,None,Dry,4.43
2237,Mangala,6.3,111,53,142,14.2,26,1984,656,Alluvial,2.0 x 10^7,0,High,1.9%,311,High,No,None,None,Dry,4.57
2238,SK Local,5.7,118,52,144,12.5,24,1942,748,Laterite,1.8 x 10^7,0,High,2.0%,306,High,No,None,None,Humid,3.87
2239,Shreemangala,6.7,101,40,124,11.3,28,1974,517,Laterite,1.2 x 10^7,2.0 x 10^5,Low,1.7%,266,Low,No,None,None,Dry,2.48
2240,SK Local,6.3,104,55,151,14.4,27,1781,958,Alluvial,1.5 x 10^7,0,High,1.9%,337,High,No,None,None,Humid,2.69
2241,SK Local,6.5,109,50,141,12.5,27,1770,680,Laterite,1.5 x 10^7,0,High,1.9%,324,High,No,None,None,Dry,3.41
2242,Sumangala,5.9,111,54,153,12.9,26,1943,640,Red loam,1.7 x 10^7,0,High,2.0%,317,High,No,None,None,Dry,4.46
2243,Shreemangala,5.6,106,56,160,14.2,26,1599,579,Laterite,1.8 x 10^7,0,High,2.0%,304,High,No,None,None,Humid,5.68
2244,Mangala,5.7,105,52,154,12.9,26,1948,721,Laterite,1.8 x 10^7,0,High,1.8%,310,High,No,None,None,Rainy,4.93
2245,Sumangala,5.6,106,52,149,13.3,26,1830,640,Red loam,1.6 x 10^7,0,High,1.9%,347,High,No,None,None,Rainy,4.28
2246,Sumangala,6.3,116,59,145,13.3,28,1614,799,Laterite,1.6 x 10^7,0,High,1.8%,350,High,No,None,None,Humid,4.96
2247,Sumangala,5.5,103,52,148,13.7,27,1812,600,Laterite,1.5 x 10^7,0,High,1.8%,337,High,No,None,None,Rainy,4.18
2248,SK Local,6.2,116,56,140,14.7,27,1933,920,Red loam,1.9 x 10^7,0,High,2.0%,328,High,No,None,None,Dry,3.91
2249,Shreemangala,5.9,130,47,148,13.3,22,1637,996,Red loam,1.1 x 10^7,2.3 x 10^5,Moderate,1.3%,319,Moderate,Yes,Spindle Bug,Phosphorus,Humid,2.16
2250,Mangala,6.1,107,47,138,15.0,21,1829,770,Laterite,1.2 x 10^7,1.8 x 10^5,Moderate,1.5%,274,Low,No,None,Phosphorus,Dry,2.23
2251,Shreemangala,5.9,114,57,157,13.0,26,1938,911,Laterite,1.7 x 10^7,0,High,1.9%,344,High,No,None,None,Dry,4.88
2252,Sumangala,6.5,103,43,130,14.1,24,2294,615,Red loam,1.1 x 10^7,2.0 x 10^5,Moderate,1.3%,341,Low,Yes,Koleroga (Mahali),Nitrogen,Dry,1.3
2253,Sumangala,5.9,113,42,159,12.8,28,2152,941,Alluvial,1.4 x 10^7,0.6 x 10^5,Low,1.6%,282,Low,No,None,None,Humid,4.01
2254,Shreemangala,5.6,111,47,126,14.2,22,2004,751,Laterite,1.4 x 10^7,0.0 x 10^5,High,1.8%,261,Low,No,None,Nitrogen,Rainy,3.26
2255,Mangala,6.6,117,43,141,14.7,24,1744,849,Alluvial,1.1 x 10^7,0.2 x 10^5,Moderate,1.4%,254,Low,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.38
2256,SK Local,6.9,107,43,141,12.0,20,1880,942,Alluvial,1.0 x 10^7,2.1 x 10^5,Low,1.4%,348,Moderate,No,None,Potassium,Dry,1.52
2257,Sumangala,5.5,112,55,146,12.0,25,1643,786,Red loam,1.6 x 10^7,0,High,2.0%,318,High,No,None,None,Humid,4.79
2258,Sumangala,5.0,87,46,133,11.6,21,1722,785,Laterite,1.3 x 10^7,2.5 x 10^5,High,1.7%,287,Low,Yes,Spindle Bug,Phosphorus,Humid,1.64
2259,Sumangala,5.1,109,49,128,10.4,27,2138,790,Alluvial,1.2 x 10^7,0.1 x 10^5,Low,1.4%,260,High,Yes,Spindle Bug,None,Rainy,2.43
2260,Shreemangala,6.4,112,59,152,11.5,23,2459,692,Red loam,1.1 x 10^7,1.0 x 10^5,Low,1.6%,336,Moderate,No,None,None,Humid,3.41
2261,Shreemangala,6.5,102,50,160,14.1,24,1735,621,Alluvial,1.8 x 10^7,0,High,1.8%,329,High,No,None,None,Dry,5.25
2262,SK Local,6.3,111,52,157,14.6,28,1700,788,Red loam,1.7 x 10^7,0,High,1.8%,307,High,No,None,None,Rainy,4.13
2263,Shreemangala,6.3,114,53,145,12.8,24,1622,807,Laterite,1.7 x 10^7,0,High,2.0%,341,High,No,None,None,Rainy,4.72
2264,Shreemangala,6.1,115,56,142,12.8,26,1583,914,Alluvial,1.8 x 10^7,0,High,1.8%,305,High,No,None,None,Rainy,4.71
2265,SK Local,6.1,105,60,147,14.0,27,1527,948,Laterite,1.7 x 10^7,0,High,2.0%,342,High,No,None,None,Dry,3.09
2266,Sumangala,5.7,95,41,125,14.9,27,1848,876,Laterite,1.3 x 10^7,1.6 x 10^5,Low,1.7%,337,Low,Yes,Koleroga (Mahali),Phosphorus,Humid,1.42
2267,Sumangala,5.7,121,40,138,10.7,25,2069,652,Laterite,1.5 x 10^7,2.1 x 10^5,Low,1.5%,251,High,Yes,Spindle Bug,None,Dry,2.35
2268,Sumangala,5.0,91,55,134,14.9,21,1442,526,Alluvial,1.4 x 10^7,2.1 x 10^5,High,1.5%,342,High,Yes,Koleroga (Mahali),Phosphorus,Rainy,1.29
2269,Shreemangala,6.5,120,54,159,14.1,24,1911,675,Laterite,1.5 x 10^7,0,High,1.9%,347,High,No,None,None,Rainy,5.15
2270,Mangala,5.3,125,41,140,13.0,26,1315,711,Red loam,1.2 x 10^7,2.5 x 10^5,Moderate,1.8%,264,High,Yes,Spindle Bug,Potassium,Dry,1.5
2271,Shreemangala,5.9,128,50,139,13.8,23,1577,613,Laterite,1.3 x 10^7,2.6 x 10^5,Moderate,1.7%,253,High,No,None,None,Rainy,3.34
2272,Shreemangala,6.1,109,60,153,13.0,25,1524,531,Laterite,1.6 x 10^7,0,High,1.9%,305,High,No,None,None,Humid,4.53
2273,Mangala,6.1,112,55,154,13.6,27,1994,761,Red loam,2.0 x 10^7,0,High,1.8%,312,High,No,None,None,Humid,4.81
2274,SK Local,5.5,119,41,129,14.3,25,1403,724,Alluvial,1.4 x 10^7,1.6 x 10^5,Moderate,1.9%,339,Moderate,Yes,Spindle Bug,None,Dry,1.35
2275,Sumangala,6.4,130,41,153,10.1,28,2440,965,Red loam,1.5 x 10^7,2.5 x 10^5,High,1.5%,314,Moderate,Yes,Koleroga (Mahali),Nitrogen,Dry,1.67
2276,Shreemangala,6.4,88,47,123,11.3,25,2424,890,Alluvial,1.3 x 10^7,1.2 x 10^5,High,1.8%,265,Low,Yes,Spindle Bug,Potassium,Humid,2.02
2277,Shreemangala,5.6,115,59,148,13.9,24,1887,973,Red loam,1.6 x 10^7,0,High,1.9%,331,High,No,None,None,Rainy,5.59
2278,SK Local,5.5,109,59,154,12.4,27,1871,788,Alluvial,1.8 x 10^7,0,High,1.9%,335,High,No,None,None,Rainy,3.69
2279,Shreemangala,5.6,103,52,160,14.2,26,1701,844,Laterite,1.8 x 10^7,0,High,1.9%,331,High,No,None,None,Dry,5.16
2280,Mangala,5.2,85,58,126,11.5,26,1507,878,Red loam,1.4 x 10^7,0.4 x 10^5,High,1.7%,251,Moderate,Yes,Koleroga (Mahali),None,Dry,1.66
2281,Shreemangala,6.0,112,50,123,15.0,20,1459,525,Laterite,1.2 x 10^7,2.0 x 10^5,High,1.7%,305,High,Yes,Spindle Bug,Phosphorus,Humid,2.01
2282,Mangala,6.0,83,42,133,14.4,21,2445,591,Red loam,1.4 x 10^7,0.3 x 10^5,High,1.3%,324,High,No,None,Nitrogen,Rainy,2.89
